,price,position
0,[1608],"['萧山区', '城厢', '绿都四季华庭']"
1,[1021],"['萧山区', '城厢', '绿都四季华庭']"
2,[997],"['余杭区', '临平', '新城山语院']"
3,[787],"['余杭区', '临平', '新城山语院']"
4,[662],"['萧山区', '义蓬', '盛都苑']"
5,[810],"['余杭区', '南苑', '红联九漾华庭东区']"
6,[907],"['江干区', '九堡', '三卫家园南苑']"
7,[945],"['萧山区', '义蓬', '宋都丽郡国际']"
8,[945],"['萧山区', '义蓬', '宋都丽郡园']"
9,[1313],"['萧山区', '钱江世纪城', '顺丰家园']"
10,[945],"['萧山区', '义蓬', '宋都丽郡园']"
11,[975],"['西湖区', '转塘', '定北家园二区']"
12,[919],"['萧山区', '义蓬', '宋都丽郡园']"
13,[831],"['余杭区', '南苑', '红联九漾华庭东区']"
14,[752],"['萧山区', '义蓬', '宋都丽郡国际']"
15,[919],"['萧山区', '义蓬', '宋都丽郡国际']"
16,[770],"['萧山区', '义蓬', '义蓬名苑']"
17,[1004],"['西湖区', '转塘', '定北家园二区']"
18,[945],"['萧山区', '义蓬', '宋都丽郡园']"
19,[2325],"['滨江区', '西兴', '迎春南苑']"
20,[1748],"['萧山区', '宁围街道', '盈一佳苑']"
0,['770'],"['萧山区', '萧山周边', '江东府']"
1,['1397'],"['萧山区', '北干', '丰润家园']"
2,['1166'],"['余杭区', '乔司', '胜稼红星嘉园一区']"
3,['1173'],"['余杭区', '乔司', '胜稼红星嘉园四区']"
4,['1692'],"['萧山区', '湘湖', '威尼斯水城']"
5,['726'],"['萧山区', '义蓬', '宋都丽郡园']"
6,['1015'],"['萧山区', '城厢', '光明右岸澜庭']"
7,['611'],"['萧山区', '大江东', '鑫福万泰华庭']"
8,['1107'],"['余杭区', '乔司', '胜稼红星嘉园四区']"
9,['924'],"['余杭区', '乔司', '乔中永和苑']"
10,['630'],"['萧山区', '大江东', '鑫福万泰华庭']"
11,['924'],"['萧山区', '萧山周边', '钱塘东南家园']"
12,['862'],"['余杭区', '南苑', '红联九漾华庭东区']"
13,['858'],"['萧山区', '萧山周边', '钱塘东南家园']"
14,['847'],"['余杭区', '临平', '相寓']"
15,['1138'],"['萧山区', '蜀山', '开元名郡']"
16,['1388'],"['萧山区', '蜀山', '开元名郡']"
17,['1248'],"['余杭区', '乔司', '乔中永和苑']"
18,['1201'],"['萧山区', '宁围街道', '盈一佳苑']"
19,['1064'],"['余杭区', '乔司', '乔中永和苑']"
20,['1021'],"['余杭区', '乔司', '乔中永和苑']"
0,['744'],"['萧山区', '城厢', '绿都四季华庭']"
1,['1152'],"['余杭区', '乔司', '胜稼红星嘉园一区']"
2,['848'],"['萧山区', '新街', '融创东南海']"
3,['852'],"['余杭区', '乔司', '连城国际又一城']"
4,['981'],"['萧山区', '义蓬', '宋都丽郡园']"
5,['954'],"['萧山区', '萧山周边', '金域东方']"
6,['1131'],"['西湖区', '转塘', '赞成岭上花苑']"
7,['2525'],"['滨江区', '区政府', '缤纷东院']"
8,['901'],"['萧山区', '新街', '融创东南海']"
9,['1204'],"['余杭区', '乔司', '胜稼红星嘉园四区']"
10,['1028'],"['余杭区', '南苑', '红联九漾华庭东区']"
11,['1021'],"['余杭区', '乔司', '乔中永和苑']"
12,['1204'],"['余杭区', '乔司', '胜稼红星嘉园四区']"
13,['1088'],"['萧山区', '新街', '融创东南海']"
14,['830'],"['萧山区', '萧山周边', '金域东方']"
15,['1144'],"['余杭区', '乔司', '胜稼红星嘉园二区']"
16,['1017'],"['余杭区', '乔司', '乔中永和苑']"
17,['1238'],"['余杭区', '南苑', '红联九漾华庭东区']"
18,['595'],"['萧山区', '义蓬', '义蓬名苑']"
19,['918'],"['余杭区', '南苑', '红联九漾华庭东区']"
20,['628'],"['余杭区', '临平', '夏宫花苑西荷院']"
0,['1608'],"['萧山区', '城厢', '绿都四季华庭']"
1,['1021'],"['萧山区', '城厢', '绿都四季华庭']"
2,['997'],"['余杭区', '临平', '新城山语院']"
3,['787'],"['余杭区', '临平', '新城山语院']"
4,['662'],"['萧山区', '义蓬', '盛都苑']"
5,['810'],"['余杭区', '南苑', '红联九漾华庭东区']"
6,['907'],"['江干区', '九堡', '三卫家园南苑']"
7,['945'],"['萧山区', '义蓬', '宋都丽郡国际']"
8,['945'],"['萧山区', '义蓬', '宋都丽郡园']"
9,['1313'],"['萧山区', '钱江世纪城', '顺丰家园']"
10,['945'],"['萧山区', '义蓬', '宋都丽郡园']"
11,['975'],"['西湖区', '转塘', '定北家园二区']"
12,['919'],"['萧山区', '义蓬', '宋都丽郡园']"
13,['831'],"['余杭区', '南苑', '红联九漾华庭东区']"
14,['752'],"['萧山区', '义蓬', '宋都丽郡国际']"
15,['919'],"['萧山区', '义蓬', '宋都丽郡国际']"
